ID,Name,Department,Title,OCEAN_Openness,OCEAN_Conscientiousness,OCEAN_Extraversion,OCEAN_Agreeableness,OCEAN_Neuroticism,Sus_Authority,Risk_Authority,Sus_Urgency,Risk_Urgency,Sus_Scarcity,Risk_Scarcity,Sus_Social Proof,Risk_Social Proof,Sus_Liking,Risk_Liking,Sus_Reciprocity,Risk_Reciprocity,Overall_Risk_Score,Top_Vulnerability
EMP-027,Sneha Mehta,Legal,Data Protection Lead,0.4,0.8067,0.3,0.5074,0.3981,0.5683,MEDIUM,0.4621,MEDIUM,0.522,MEDIUM,0.4283,MEDIUM,0.4387,MEDIUM,0.472,MEDIUM,0.4819,Authority
EMP-032,Shreya Verma,Legal,Data Protection Lead,0.4,0.8067,0.3,0.5074,0.3981,0.5683,MEDIUM,0.4621,MEDIUM,0.522,MEDIUM,0.4283,MEDIUM,0.4387,MEDIUM,0.472,MEDIUM,0.4819,Authority
EMP-034,Deepak Nair,Legal,Legal Counsel,0.4,0.3883,0.3,0.5292,0.3632,0.3955,LOW,0.3773,LOW,0.3847,LOW,0.3915,LOW,0.408,MEDIUM,0.4095,MEDIUM,0.3944,Reciprocity
EMP-006,Nikhil Sharma,Finance,Financial Analyst,0.4,0.6975,0.3,0.4404,0.5053,0.5414,MEDIUM,0.4901,MEDIUM,0.5254,MEDIUM,0.4199,MEDIUM,0.4214,MEDIUM,0.4496,MEDIUM,0.4746,Authority
EMP-013,Shreya Patel,HR,People Operations Manager,0.4,0.3883,0.3,0.5292,0.3632,0.3955,LOW,0.3773,LOW,0.3847,LOW,0.3915,LOW,0.408,MEDIUM,0.4095,MEDIUM,0.3944,Reciprocity
EMP-007,Rohan Gupta,Finance,Financial Analyst,0.4,0.7192,0.3,0.4698,0.4583,0.5427,MEDIUM,0.4734,MEDIUM,0.5161,MEDIUM,0.4213,MEDIUM,0.4269,MEDIUM,0.4554,MEDIUM,0.4726,Authority
EMP-009,Shreya Mehta,Finance,Senior Accountant,0.4,0.8067,0.3,0.5074,0.3981,0.5683,MEDIUM,0.4621,MEDIUM,0.522,MEDIUM,0.4283,MEDIUM,0.4387,MEDIUM,0.472,MEDIUM,0.4819,Authority
EMP-036,Kavya Mishra,Sales,Sales Manager,0.4,0.3883,0.3,0.5292,0.3632,0.3955,LOW,0.3773,LOW,0.3847,LOW,0.3915,LOW,0.408,MEDIUM,0.4095,MEDIUM,0.3944,Reciprocity
EMP-024,Rahul Verma,Engineering,Tech Lead,0.487,0.3767,0.4739,0.6109,0.5109,0.4661,MEDIUM,0.4922,MEDIUM,0.4746,MEDIUM,0.5093,MEDIUM,0.517,MEDIUM,0.5036,MEDIUM,0.4938,Liking
EMP-042,Neha Iyer,Sales,Business Development Lead,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-004,Pooja Bose,Finance,Financial Analyst,0.4,0.4,0.3,0.4889,0.4278,0.4103,MEDIUM,0.4071,MEDIUM,0.41,MEDIUM,0.3932,LOW,0.4038,MEDIUM,0.4079,MEDIUM,0.4054,Authority
EMP-031,Kavya Shah,Legal,Legal Counsel,0.4,0.5719,0.3,0.4512,0.4881,0.4885,MEDIUM,0.4617,MEDIUM,0.4819,MEDIUM,0.4088,MEDIUM,0.4127,MEDIUM,0.4312,MEDIUM,0.4475,Authority
EMP-047,Ravi Verma,Operations,Process Engineer,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-023,Arjun Rao,Engineering,DevOps Engineer,0.4,0.7192,0.3,0.4698,0.4583,0.5427,MEDIUM,0.4734,MEDIUM,0.5161,MEDIUM,0.4213,MEDIUM,0.4269,MEDIUM,0.4554,MEDIUM,0.4726,Authority
EMP-033,Sneha Das,Legal,Legal Counsel,0.4,0.5719,0.3,0.4512,0.4881,0.4885,MEDIUM,0.4617,MEDIUM,0.4819,MEDIUM,0.4088,MEDIUM,0.4127,MEDIUM,0.4312,MEDIUM,0.4475,Authority
EMP-017,Manish Sharma,HR,HR Business Partner,0.4,0.6925,0.3,0.4437,0.5,0.5386,MEDIUM,0.4869,MEDIUM,0.5221,MEDIUM,0.4194,MEDIUM,0.4214,MEDIUM,0.4491,MEDIUM,0.4729,Authority
EMP-026,Swati Nair,Engineering,Solutions Architect,0.4,0.3933,0.3,0.481,0.4405,0.4096,MEDIUM,0.4115,MEDIUM,0.4123,MEDIUM,0.3928,LOW,0.4022,MEDIUM,0.4062,MEDIUM,0.4058,Scarcity
EMP-037,Anjali Joshi,Sales,Account Executive,0.4,0.7192,0.3,0.4698,0.4583,0.5427,MEDIUM,0.4734,MEDIUM,0.5161,MEDIUM,0.4213,MEDIUM,0.4269,MEDIUM,0.4554,MEDIUM,0.4726,Authority
EMP-011,Swati Verma,HR,People Operations Manager,0.4,0.3956,0.3,0.4837,0.436,0.4098,MEDIUM,0.4099,MEDIUM,0.4114,MEDIUM,0.3929,LOW,0.4028,MEDIUM,0.4068,MEDIUM,0.4056,Scarcity
EMP-012,Amit Mishra,HR,HR Business Partner,0.4,0.3883,0.3,0.5292,0.3632,0.3955,LOW,0.3773,LOW,0.3847,LOW,0.3915,LOW,0.408,MEDIUM,0.4095,MEDIUM,0.3944,Reciprocity
EMP-015,Priya Singh,HR,Talent Acquisition Lead,0.4,0.6925,0.3,0.4437,0.5,0.5386,MEDIUM,0.4869,MEDIUM,0.5221,MEDIUM,0.4194,MEDIUM,0.4214,MEDIUM,0.4491,MEDIUM,0.4729,Authority
EMP-040,Swati Singh,Sales,Sales Manager,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-020,Ritu Sharma,Engineering,Tech Lead,0.4,0.4,0.3,0.4889,0.4278,0.4103,MEDIUM,0.4071,MEDIUM,0.41,MEDIUM,0.3932,LOW,0.4038,MEDIUM,0.4079,MEDIUM,0.4054,Authority
EMP-028,Aditya Joshi,Legal,Legal Counsel,0.4,0.3956,0.3,0.4837,0.436,0.4098,MEDIUM,0.4099,MEDIUM,0.4114,MEDIUM,0.3929,LOW,0.4028,MEDIUM,0.4068,MEDIUM,0.4056,Scarcity
EMP-030,Kavya Das,Legal,Data Protection Lead,0.4,0.8008,0.3,0.5091,0.3955,0.5656,MEDIUM,0.46,MEDIUM,0.5193,MEDIUM,0.4277,MEDIUM,0.4384,MEDIUM,0.4713,MEDIUM,0.4804,Authority
EMP-021,Swati Rao,Engineering,DevOps Engineer,0.4,0.3956,0.3,0.4837,0.436,0.4098,MEDIUM,0.4099,MEDIUM,0.4114,MEDIUM,0.3929,LOW,0.4028,MEDIUM,0.4068,MEDIUM,0.4056,Scarcity
EMP-046,Manish Pandey,Operations,Supply Chain Analyst,0.4,0.3956,0.3,0.4837,0.436,0.4098,MEDIUM,0.4099,MEDIUM,0.4114,MEDIUM,0.3929,LOW,0.4028,MEDIUM,0.4068,MEDIUM,0.4056,Scarcity
EMP-043,Ritu Das,Operations,Operations Manager,0.4,0.3883,0.3,0.5292,0.3632,0.3955,LOW,0.3773,LOW,0.3847,LOW,0.3915,LOW,0.408,MEDIUM,0.4095,MEDIUM,0.3944,Reciprocity
EMP-050,Karan Nair,Operations,Supply Chain Analyst,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-018,Vivek Pillai,HR,HR Business Partner,0.4851,0.3783,0.4702,0.6106,0.5053,0.4648,MEDIUM,0.4889,MEDIUM,0.4722,MEDIUM,0.5069,MEDIUM,0.515,MEDIUM,0.5019,MEDIUM,0.4916,Liking
EMP-008,Ritu Singh,Finance,Senior Accountant,0.4,0.3956,0.3,0.4837,0.436,0.4098,MEDIUM,0.4099,MEDIUM,0.4114,MEDIUM,0.3929,LOW,0.4028,MEDIUM,0.4068,MEDIUM,0.4056,Scarcity
EMP-019,Neha Reddy,Engineering,DevOps Engineer,0.4,0.6925,0.3,0.4437,0.5,0.5386,MEDIUM,0.4869,MEDIUM,0.5221,MEDIUM,0.4194,MEDIUM,0.4214,MEDIUM,0.4491,MEDIUM,0.4729,Authority
EMP-041,Meera Shah,Sales,Business Development Lead,0.4,0.3956,0.3,0.4837,0.436,0.4098,MEDIUM,0.4099,MEDIUM,0.4114,MEDIUM,0.3929,LOW,0.4028,MEDIUM,0.4068,MEDIUM,0.4056,Scarcity
EMP-014,Arjun Patel,HR,HR Business Partner,0.4,0.8067,0.3,0.5074,0.3981,0.5683,MEDIUM,0.4621,MEDIUM,0.522,MEDIUM,0.4283,MEDIUM,0.4387,MEDIUM,0.472,MEDIUM,0.4819,Authority
EMP-003,Priya Mishra,Finance,Budget Manager,0.4,0.6925,0.3,0.4437,0.5,0.5386,MEDIUM,0.4869,MEDIUM,0.5221,MEDIUM,0.4194,MEDIUM,0.4214,MEDIUM,0.4491,MEDIUM,0.4729,Authority
EMP-049,Vivek Pillai,Operations,Process Engineer,0.4,0.8129,0.3,0.5057,0.4009,0.5712,MEDIUM,0.4643,MEDIUM,0.5248,MEDIUM,0.4289,MEDIUM,0.439,MEDIUM,0.4729,MEDIUM,0.4835,Authority
